periodo,fecha,Año,DimPD,Dolarizacion,IPD,IPD_proy,EMBI,DXY,IPC,BVL,Adopcion,DPS,MCS,DVS,CRS,DSS,PIS,IGS,DRIFT_T,DRIFT_R,DRIFT,Régimen
Ene.2018,,,0.4066151759304722,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,0.0,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,4.079983366450624,,,Sin datos
Ene.2018,,,0.4342449978981306,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,28.49457967714058,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,15.477815237306856,,,Sin datos
Ene.2018,,,0.4212038528900449,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,15.045273128983535,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,10.098092618044038,,,Sin datos
Ene.2018,,,0.4162375595040245,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,9.923544774973175,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,8.049401276439895,,,Sin datos
Ene.2018,,,0.42540696560997376,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,19.379934801078473,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,11.831957286882012,,,Sin datos
Ene.2018,,,0.42158607314423885,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,15.439456106351052,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,10.255765808991045,,,Sin datos
Ene.2018,,,0.42239143678764385,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,16.27002600770394,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,10.5879937695322,,,Sin datos
Ene.2018,,,0.4305191733208159,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,24.6521443040277,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,13.940841088061704,,,Sin datos
Ene.2018,,,0.4254224877569399,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,19.395942759942812,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,11.838360470427748,,,Sin datos
Ene.2018,,,0.4275128208281985,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,21.551699040980786,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,12.700662982842937,,,Sin datos
